START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/25,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",02/22/25,02/22/25,04:05 PM,04:05 PM,FALSE,TRUE,02/22/25,12:05 PM,12:05 PM,FREE,BUSY
02/23/25,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: FanDuel Sports Network Detroit ----- Local Radio: 97.1 The Ticket",02/23/25,02/23/25,04:05 PM,04:05 PM,FALSE,TRUE,02/23/25,12:05 PM,12:05 PM,FREE,BUSY
02/25/25,01:05 PM,01:05 PM,Tigers at Orioles,Ed Smith Stadium - Sarasota,"",02/25/25,02/25/25,04:05 PM,04:05 PM,FALSE,TRUE,02/25/25,12:05 PM,12:05 PM,FREE,BUSY
02/26/25,01:05 PM,01:05 PM,Twins at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local TV: FanDuel Sports Network Detroit ----- Local Radio: WXYT 1270",02/26/25,02/26/25,04:05 PM,04:05 PM,FALSE,TRUE,02/26/25,12:05 PM,12:05 PM,FREE,BUSY
02/27/25,01:05 PM,01:05 PM,Red Sox at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",02/27/25,02/27/25,04:05 PM,04:05 PM,FALSE,TRUE,02/27/25,12:05 PM,12:05 PM,FREE,BUSY
02/27/25,01:05 PM,01:05 PM,Tigers at Rays,Charlotte Sports Park - Port Charlotte,"",02/27/25,02/27/25,04:05 PM,04:05 PM,FALSE,TRUE,02/27/25,12:05 PM,12:05 PM,FREE,BUSY
02/28/25,01:07 PM,01:07 PM,Tigers at Blue Jays,TD Ballpark - Dunedin,"",02/28/25,02/28/25,04:07 PM,04:07 PM,FALSE,TRUE,02/28/25,12:07 PM,12:07 PM,FREE,BUSY
03/01/25,01:05 PM,01:05 PM,Phillies at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: 97.1 The Ticket",03/01/25,03/01/25,04:05 PM,04:05 PM,FALSE,TRUE,03/01/25,12:05 PM,12:05 PM,FREE,BUSY
03/02/25,01:05 PM,01:05 PM,Tigers at Pirates,LECOM Park - Bradenton,"Local TV: FanDuel Sports Network Detroit ----- Local Radio: 97.1 The Ticket",03/02/25,03/02/25,04:05 PM,04:05 PM,FALSE,TRUE,03/02/25,12:05 PM,12:05 PM,FREE,BUSY
03/03/25,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",03/03/25,03/03/25,04:05 PM,04:05 PM,FALSE,TRUE,03/03/25,12:05 PM,12:05 PM,FREE,BUSY
