START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/26/26,01:10 PM,02:10 PM,White Sox at Brewers,American Family Field - Milwaukee,"",03/26/26,03/26/26,04:10 PM,05:10 PM,FALSE,TRUE,03/26/26,12:10 PM,01:10 PM,FREE,BUSY
03/28/26,06:10 PM,07:10 PM,White Sox at Brewers,American Family Field - Milwaukee,"",03/28/26,03/28/26,09:10 PM,10:10 PM,FALSE,TRUE,03/28/26,05:10 PM,06:10 PM,FREE,BUSY
03/29/26,01:10 PM,02:10 PM,White Sox at Brewers,American Family Field - Milwaukee,"",03/29/26,03/29/26,04:10 PM,05:10 PM,FALSE,TRUE,03/29/26,12:10 PM,01:10 PM,FREE,BUSY
03/30/26,05:40 PM,06:40 PM,White Sox at Marlins,loanDepot park - Miami,"",03/30/26,03/30/26,08:40 PM,09:40 PM,FALSE,TRUE,03/30/26,04:40 PM,05:40 PM,FREE,BUSY
03/31/26,05:40 PM,06:40 PM,White Sox at Marlins,loanDepot park - Miami,"",03/31/26,03/31/26,08:40 PM,09:40 PM,FALSE,TRUE,03/31/26,04:40 PM,05:40 PM,FREE,BUSY
04/01/26,12:10 PM,01:10 PM,White Sox at Marlins,loanDepot park - Miami,"",04/01/26,04/01/26,03:10 PM,04:10 PM,FALSE,TRUE,04/01/26,11:10 AM,12:10 PM,FREE,BUSY
04/02/26,03:10 PM,04:10 PM,Blue Jays at White Sox,Rate Field - Chicago,"",04/02/26,04/02/26,06:10 PM,07:10 PM,FALSE,TRUE,04/02/26,02:10 PM,03:10 PM,FREE,BUSY
04/04/26,01:10 PM,02:10 PM,Blue Jays at White Sox,Rate Field - Chicago,"",04/04/26,04/04/26,04:10 PM,05:10 PM,FALSE,TRUE,04/04/26,12:10 PM,01:10 PM,FREE,BUSY
04/05/26,01:10 PM,02:10 PM,Blue Jays at White Sox,Rate Field - Chicago,"",04/05/26,04/05/26,04:10 PM,05:10 PM,FALSE,TRUE,04/05/26,12:10 PM,01:10 PM,FREE,BUSY
04/06/26,06:40 PM,07:40 PM,Orioles at White Sox,Rate Field - Chicago,"",04/06/26,04/06/26,09:40 PM,10:40 PM,FALSE,TRUE,04/06/26,05:40 PM,06:40 PM,FREE,BUSY
04/07/26,06:40 PM,07:40 PM,Orioles at White Sox,Rate Field - Chicago,"",04/07/26,04/07/26,09:40 PM,10:40 PM,FALSE,TRUE,04/07/26,05:40 PM,06:40 PM,FREE,BUSY
04/08/26,01:10 PM,02:10 PM,Orioles at White Sox,Rate Field - Chicago,"",04/08/26,04/08/26,04:10 PM,05:10 PM,FALSE,TRUE,04/08/26,12:10 PM,01:10 PM,FREE,BUSY
