Time (local),Ozone (ppm)
2025-07-07_00:00:44,0.032
2025-07-07_00:01:40,0.032
2025-07-07_00:03:30,0.032
2025-07-07_00:04:26,0.031
2025-07-07_00:05:21,0.032
2025-07-07_00:06:16,0.032
2025-07-07_00:07:12,0.033
2025-07-07_00:08:07,0.033
2025-07-07_00:09:03,0.033
2025-07-07_00:09:58,-999
2025-07-07_00:10:53,-999
2025-07-07_00:11:49,-999
2025-07-07_00:12:44,0.033
2025-07-07_00:13:39,0.032
2025-07-07_00:15:30,0.031
2025-07-07_00:16:26,0.031
2025-07-07_00:17:21,0.032
2025-07-07_00:18:17,0.033
2025-07-07_00:19:12,0.033
2025-07-07_00:20:07,0.032
2025-07-07_00:21:03,0.032
2025-07-07_00:21:58,0.030
2025-07-07_00:22:53,0.030
2025-07-07_00:23:49,0.031
2025-07-07_00:24:44,0.030
2025-07-07_00:25:39,0.030
2025-07-07_00:27:30,0.032
2025-07-07_00:28:25,0.033
2025-07-07_00:29:21,0.032
2025-07-07_00:30:16,0.032
2025-07-07_00:31:12,0.032
2025-07-07_00:32:07,0.032
2025-07-07_00:33:02,0.032
2025-07-07_00:33:58,0.032
2025-07-07_00:34:53,0.032
2025-07-07_00:35:49,0.031
2025-07-07_00:36:44,0.030
2025-07-07_00:37:39,0.030
2025-07-07_00:39:30,0.032
2025-07-07_00:40:25,0.031
2025-07-07_00:41:21,0.031
2025-07-07_00:42:16,0.030
2025-07-07_00:43:11,0.030
2025-07-07_00:44:07,0.032
2025-07-07_00:45:02,0.030
2025-07-07_00:45:58,0.030
2025-07-07_00:46:53,0.030
2025-07-07_00:47:48,0.031
2025-07-07_00:48:44,0.031
2025-07-07_00:49:39,0.031
2025-07-07_00:51:30,0.031
2025-07-07_00:52:25,0.031
2025-07-07_00:53:21,0.030
2025-07-07_00:54:16,0.030
2025-07-07_00:55:11,0.030
2025-07-07_00:56:07,0.030
2025-07-07_00:57:02,0.030
2025-07-07_00:57:58,0.030
2025-07-07_00:58:53,0.030
2025-07-07_00:59:48,0.029
2025-07-07_01:00:44,0.029
2025-07-07_01:01:39,0.029
2025-07-07_01:03:30,0.029
2025-07-07_01:04:25,0.029
2025-07-07_01:05:21,0.029
2025-07-07_01:06:16,0.029
2025-07-07_01:07:11,0.028
2025-07-07_01:08:07,0.028
2025-07-07_01:09:02,0.028
2025-07-07_01:09:58,0.028
2025-07-07_01:10:53,0.026
2025-07-07_01:11:48,0.026
2025-07-07_01:12:44,0.027
2025-07-07_01:13:39,0.028
2025-07-07_01:15:30,0.028
2025-07-07_01:16:25,0.027
2025-07-07_01:17:20,0.027
2025-07-07_01:18:16,0.027
2025-07-07_01:19:11,0.027
2025-07-07_01:20:07,0.027
2025-07-07_01:21:02,0.026
2025-07-07_01:21:57,0.025
2025-07-07_01:22:53,0.027
2025-07-07_01:23:48,0.027
2025-07-07_01:24:43,0.026
2025-07-07_01:25:39,0.026
2025-07-07_01:27:30,0.026
2025-07-07_01:28:25,0.026
2025-07-07_01:29:20,0.026
2025-07-07_01:30:16,0.025
2025-07-07_01:31:11,0.026
2025-07-07_01:32:06,0.026
2025-07-07_01:33:02,0.027
2025-07-07_01:33:57,0.027
2025-07-07_01:34:52,0.027
2025-07-07_01:35:48,0.026
2025-07-07_01:36:43,0.026
2025-07-07_01:37:39,0.026
2025-07-07_01:39:29,0.026
2025-07-07_01:40:25,0.026
2025-07-07_01:41:20,0.026
2025-07-07_01:42:16,0.026
2025-07-07_01:43:11,0.025
2025-07-07_01:44:07,0.024
2025-07-07_01:45:02,0.026
2025-07-07_01:45:57,0.026
2025-07-07_01:46:53,0.026
2025-07-07_01:47:48,0.025
2025-07-07_01:48:43,0.025
2025-07-07_01:49:39,0.025
2025-07-07_01:51:29,0.026
2025-07-07_01:52:25,0.026
2025-07-07_01:53:20,0.026
2025-07-07_01:54:15,0.026
2025-07-07_01:55:11,0.027
2025-07-07_01:56:06,0.027
2025-07-07_01:57:02,0.028
2025-07-07_01:57:57,0.028
2025-07-07_01:58:53,0.028
2025-07-07_01:59:48,0.028
2025-07-07_02:00:43,0.027
2025-07-07_02:01:39,0.028
2025-07-07_02:03:29,0.027
2025-07-07_02:04:25,0.028
2025-07-07_02:05:20,0.028
2025-07-07_02:06:15,0.028
2025-07-07_02:07:11,0.029
2025-07-07_02:08:06,0.028
2025-07-07_02:09:01,0.028
2025-07-07_02:09:57,0.026
2025-07-07_02:10:52,0.028
2025-07-07_02:11:48,0.029
2025-07-07_02:12:43,0.029
2025-07-07_02:14:34,0.028
2025-07-07_02:15:29,0.027
2025-07-07_02:16:24,0.027
2025-07-07_02:17:20,0.028
2025-07-07_02:18:15,0.028
2025-07-07_02:19:10,0.028
2025-07-07_02:20:06,0.028
2025-07-07_02:21:01,0.028
2025-07-07_02:21:56,0.028
2025-07-07_02:22:52,0.028
2025-07-07_02:23:47,0.027
2025-07-07_02:24:42,0.027
2025-07-07_02:25:38,0.027
2025-07-07_02:27:29,0.028
2025-07-07_02:28:24,0.028
2025-07-07_02:29:19,0.027
2025-07-07_02:30:15,0.028
2025-07-07_02:31:10,0.028
2025-07-07_02:32:06,0.028
2025-07-07_02:33:01,0.027
2025-07-07_02:33:56,0.027
2025-07-07_02:34:52,0.027
2025-07-07_02:35:47,0.027
2025-07-07_02:36:42,0.027
2025-07-07_02:37:38,0.026
2025-07-07_02:39:29,0.026
2025-07-07_02:40:24,0.027
2025-07-07_02:41:20,0.025
2025-07-07_02:42:15,0.024
2025-07-07_02:43:10,0.024
2025-07-07_02:44:06,0.026
2025-07-07_02:45:01,0.025
2025-07-07_02:45:57,0.026
2025-07-07_02:46:52,0.026
2025-07-07_02:47:48,0.026
2025-07-07_02:48:43,0.025
2025-07-07_02:49:39,0.025
2025-07-07_02:51:29,0.025
2025-07-07_02:52:25,0.025
2025-07-07_02:53:20,0.026
2025-07-07_02:54:16,0.026
2025-07-07_02:55:11,0.026
2025-07-07_02:56:06,0.025
2025-07-07_02:57:02,0.026
2025-07-07_02:57:57,0.026
2025-07-07_02:58:53,0.025
2025-07-07_02:59:48,0.026
2025-07-07_03:00:43,0.025
2025-07-07_03:01:39,0.024
2025-07-07_03:03:29,0.025
2025-07-07_03:04:25,0.025
2025-07-07_03:05:20,0.025
2025-07-07_03:06:15,0.025
2025-07-07_03:07:11,0.025
2025-07-07_03:08:06,0.025
2025-07-07_03:09:02,0.026
2025-07-07_03:09:57,0.025
2025-07-07_03:10:52,0.025
2025-07-07_03:11:48,0.024
2025-07-07_03:12:43,0.023
2025-07-07_03:13:39,0.023
2025-07-07_03:15:29,0.023
2025-07-07_03:16:25,0.024
2025-07-07_03:17:20,0.024
2025-07-07_03:18:16,0.023
2025-07-07_03:19:11,0.024
2025-07-07_03:20:06,0.024
2025-07-07_03:21:02,0.024
2025-07-07_03:21:57,0.024
2025-07-07_03:22:53,0.024
